[0921/095759:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/101447:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/101447:INFO:CONSOLE(385)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (385)
[0921/101447:INFO:CONSOLE(386)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/103500:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
[0921/105245:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
[0921/115245:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
[0921/115245:WARNING:dns_config_service_win.cc(653)] Failed to read DnsConfig.
[0921/122714:INFO:CONSOLE(631)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (631)
[0921/122714:INFO:CONSOLE(385)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (385)
[0921/122714:INFO:CONSOLE(386)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/122729:INFO:CONSOLE(1001)] "在该浏览器下，不支持创建子页面", source: http://192.168.1.107:8020/yikuaiwan20150915/js/mui.min.js (1001)
[0921/122808:INFO:CONSOLE(1001)] "在该浏览器下，不支持创建子页面", source: http://192.168.1.107:8020/yikuaiwan20150915/js/mui.min.js (1001)
[0921/122820:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/user/getHeCenter. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/OthersCenter.html (0)
[0921/122831:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/122831:INFO:CONSOLE(385)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (385)
[0921/122831:INFO:CONSOLE(386)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/122850:INFO:CONSOLE(138)] "Uncaught TypeError: Cannot read property 'style' of null", source: http://192.168.1.107:8020/%e5%b9%b3%e5%8f%b0%e5%95%86%e5%9f%8e/index.html (138)
[0921/122946:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/122946:INFO:CONSOLE(385)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (385)
[0921/122946:INFO:CONSOLE(386)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/122958:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/122958:INFO:CONSOLE(386)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/122958:INFO:CONSOLE(387)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (387)
[0921/123003:INFO:CONSOLE(138)] "Uncaught TypeError: Cannot read property 'style' of null", source: http://192.168.1.107:8020/%e5%b9%b3%e5%8f%b0%e5%95%86%e5%9f%8e/index.html (138)
[0921/123014:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123046:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123046:INFO:CONSOLE(386)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (386)
[0921/123046:INFO:CONSOLE(387)] "XMLHttpRequest.status:0", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (387)
[0921/123145:ERROR:renderer_main.cc(227)] Running without renderer sandbox
[0921/123253:INFO:CONSOLE(0)] "XMLHttpRequest cannot load http://120.26.131.83:81/project/getDetail. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://192.168.1.107:8020' is therefore not allowed access.", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (0)
[0921/123253:INFO:CONSOLE(418)] "XMLHttpRequest.readyState:4", source: http://192.168.1.107:8020/yikuaiwan20150915/DetailsofAction_subpage.html (418)
